name,skills,project_count,internship,communication,branch,cgpa,certificates,backlogs,marks_10,marks_12,interest_domain,placed
Aarav Nair,"Deep Learning, Computer Vision, Arduino, Python",3,Yes,2,Other,8.24,Python for Everybody,No,72.4,84.97,Artificial Intelligence,1
Ananya Khan,"Computer Vision, Blockchain",0,No,2,IT,6.62,Deep Learning Specialization,No,91.68,73.57,Computer Vision,1
Kabir Pandey,"JavaScript, HTML",1,No,4,CSE,8.71,Google IT Support Certificate,No,83.26,82.25,Web Development,1
Aarav Bhatt,"Embedded Systems, Python, Solidity",1,No,1,IT,4.29,"CS50 Certificate, Certified Ethical Hacker",Yes,81.68,56.44,Blockchain Technology,0
Rohit Saxena,"ETL, Blockchain",0,No,3,Electrical,7.06,AWS Certified Solutions Architect,No,77.59,67.75,Business Intelligence,0
Ishaan Saxena,"CI/CD, Kubernetes, Machine Learning",3,Yes,5,Electrical,5.27,Coursera Python,No,95.67,62.06,DevOps,0
Riya Garg,"Linux, Python",0,No,2,Mechanical,8.07,"Power BI Certification, fast.ai course",Yes,74.59,82.95,UI/UX Design,0
Isha Kapoor,PyTorch,2,No,2,Civil,6.76,"Coursera Python, Coursera ML",No,94.75,72.64,Embedded Systems,0
Ananya Kapoor,"UI/UX Design, Figma, Kubernetes",2,No,2,Mechanical,7.93,Google IT Support,Yes,79.53,73.44,UI/UX Design,0
Kavya Bhat,"HTML, Hadoop, SQL, Database Design",0,No,2,CSE,6.01,UI/UX Design Certificate,No,76.1,76.8,Database Management,0
Isha Singh,"OpenCV, Computer Vision",0,No,2,Civil,7.45,TensorFlow Specialization,Yes,77.65,85.31,Computer Vision,1
Prachi Bhat,"Spark, HTML",3,No,3,ECE,7.0,PMP basics,No,90.03,73.67,Big Data Analytics,0
Leena Malhotra,Network Security,1,No,3,Electrical,8.21,Deep Learning Specialization,No,74.85,80.01,Networking,1
Simran Khan,"Angular, C/C++, SQL",2,Yes,3,CSE,6.53,PMP Certification,No,65.82,72.24,Embedded Systems,1
Manish Garg,"Java, Machine Learning",0,No,2,Civil,8.66,Google IT Support,No,75.0,84.4,Automation,0
Rohit Kapoor,"Swift, Android Development, Kotlin",2,Yes,4,IT,6.42,CS50 Certificate,No,77.52,66.77,Mobile Application Development,0
Neha Rao,"Data Analysis, AWS, Python, Machine Learning",1,No,1,Electrical,6.55,Deep Learning Specialization,No,81.78,77.84,Machine Learning,1
Sneha Singh,"Unity, Automation",1,No,4,Electrical,7.67,UI/UX Design Certificate,No,78.64,76.34,Software Testing,0
Prachi Nair,"OpenCV, PyTorch, Arduino",0,No,2,Other,8.78,Power BI Certification,No,78.7,91.73,Augmented Reality (AR) / Virtual Reality (VR),0
Pooja Bhat,"Data Analysis, SEO, Python, Machine Learning",1,Yes,3,Other,5.0,Deep Learning Specialization,No,88.9,48.43,Data Science,0
Kavya Khan,"Deep Learning, Docker",1,Yes,3,ECE,7.22,Google IT Support Certificate,No,81.24,74.7,DevOps,0
Kavya Rao,"JavaScript, Embedded Systems, Linux",1,No,3,IT,7.0,Python for Everybody,No,77.74,74.48,Embedded Systems,1
Neha Malhotra,"C++, Selenium, Java, Data Structures",1,No,3,Electrical,7.75,UI/UX Design Certificate,No,83.78,74.56,Software Development,0
Karan Bhat,Figma,0,No,2,IT,6.4,UI/UX Design Certificate,No,82.59,67.39,UI/UX Design,0
Aditya Nair,"Automation, Selenium, Software Testing",0,No,1,CSE,8.27,Cisco CCNA,No,70.26,83.55,Software Testing,1
Simran Verma,"Automation, Azure",2,No,4,Other,7.17,"freeCodeCamp Certificate, Kaggle Micro-Course, Coursera Python",No,80.48,78.23,Software Testing,1
Kabir Rao,"Embedded Systems, Python",2,Yes,3,Civil,7.12,AWS Cloud Practitioner,No,78.39,75.46,Internet of Things (IoT),1
Ishaan Joshi,"Networking, Data Analysis, Cyber Security, Linux",3,Yes,4,CSE,5.46,UI/UX Design Certificate,Yes,85.85,68.18,Cyber Security,0
Karan Iyer,"JavaScript, Tableau, Android Development",0,No,3,CSE,7.16,"NPTEL DBMS, Google IT Support",No,79.15,69.16,Embedded Systems,0
Manish Kumar,"Deep Learning, Data Analysis, Machine Learning",3,No,2,Electrical,8.1,CS50 Introduction to CS,No,70.71,89.08,Machine Learning,0
Aarav Mehta,ETL,0,No,3,ECE,5.09,AWS Certified Solutions Architect,Yes,71.24,63.16,Data Engineering,1
Karan Garg,"Agile, React, Project Management, Azure",0,No,4,Other,6.83,Deep Learning Specialization,No,74.36,84.41,Project Management,0
Sakshi Malhotra,"OpenCV, SQL, Data Analysis, Python",0,No,4,Civil,7.62,freeCodeCamp Certificate,No,93.13,79.16,Data Science,1
Tanvi Patel,"VHDL, Cryptography, Cyber Security, Solidity",3,Yes,4,ECE,6.91,Java Programming Masterclass,No,89.22,67.96,Blockchain Technology,1
Vedant Iyer,"Docker, Kubernetes",0,Yes,4,ECE,6.48,UI/UX Design Certificate,No,78.26,68.3,DevOps,0
Kabir Singh,Deep Learning,2,Yes,4,Civil,7.7,Azure Fundamentals,No,77.24,73.49,Hardware Design,0
Ananya Sharma,"Cloud Computing, Docker, Linux, Kubernetes",1,Yes,5,Other,6.07,Deep Learning Specialization,No,82.82,73.49,Cloud Computing,1
Aarav Verma,"JavaScript, CSS, HTML",3,Yes,3,Mechanical,7.26,Data Science Professional Certificate,No,87.9,77.01,Web Development,1
Kavya Khan,PyTorch,0,No,2,ECE,6.38,"AWS Cloud Practitioner, IBM Data Science Professional Certificate, Coursera ML",No,78.59,71.45,Business Intelligence,1
Riya Kumar,Power BI,0,No,3,ECE,4.65,"Coursera ML, Kaggle Micro-Course",Yes,94.4,56.12,Data Engineering,0
Neha Saxena,"Deep Learning, OpenCV, Computer Vision",1,Yes,2,IT,8.23,Deep Learning Specialization,No,73.09,75.59,Computer Vision,1
Prachi Desai,CSS,1,No,4,Other,4.63,IBM Data Science Professional Certificate,No,81.45,52.48,Embedded Systems,0
Simran Gupta,"Cisco, Networking",1,No,2,Civil,6.54,"AWS Cloud Practitioner, Azure Fundamentals, Power BI Certification",No,82.64,63.81,Networking,0
Isha Sharma,"Data Analysis, Python",2,Yes,3,Civil,6.84,Data Science Professional Certificate,Yes,80.77,67.27,Robotics,1
Tara Jain,"Android Development, JavaScript, CSS, HTML, Cyber Security",0,No,3,IT,7.26,"NPTEL DBMS, AWS Cloud Practitioner, freeCodeCamp Certificate",No,77.96,77.45,Web Development,0
Vihaan Khan,"Cryptography, Figma, Solidity, Blockchain, CSS",2,No,1,Other,7.94,Coursera ML,No,84.82,85.6,Blockchain Technology,0
Vedant Roy,"Linux, Deep Learning, Docker, Kubernetes, Cloud Computing, HTML",1,No,3,Other,5.94,Google UX Design,Yes,87.1,57.91,Cloud Computing,0
Leena Rao,"Data Analysis, Data Structures, Python",0,No,3,IT,6.24,"AWS Cloud Practitioner, IBM Data Science Professional Certificate, NPTEL DBMS",No,72.41,70.44,Software Development,1
Simran Roy,"TensorFlow, Automation, Software Testing, Kotlin",2,Yes,2,CSE,8.68,Certified Ethical Hacker,No,71.97,90.2,Software Testing,1
Ananya Joshi,JavaScript,0,No,3,CSE,6.85,UI/UX Design Certificate,No,88.47,75.55,Business Intelligence,0
Isha Chopra,,0,Yes,4,Other,6.13,PMP basics,No,77.05,79.01,Augmented Reality (AR) / Virtual Reality (VR),0
Sakshi Singh,"TensorFlow, C++, CI/CD",1,Yes,3,CSE,7.82,Java Programming Masterclass,No,91.21,75.59,UI/UX Design,0
